"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","http://apple.com","4,576,694","100"
"2","http://www.google.com","12,254,848","100"
"3","http://youtube.com","17,957,828","100"
"4","http://www.blogger.com","25,503,545","99"
"5","http://support.google.com","4,656,521","99"
"6","http://play.google.com","2,388,247","99"
"7","http://microsoft.com","4,617,896","99"
"8","http://cloudflare.com","5,238,937","99"
"9","http://docs.google.com","2,280,731","98"
"10","http://youtu.be","3,909,964","98"
