"Rank","Root Domain","Linking Root Domains","Domain Authority"
"180","trustpilot.com","329,053","93"
"181","over-blog-kiwi.com","178,684","93"
"182","yandex.ru","915,608","93"
"183","bandcamp.com","510,054","93"
"184","shutterstock.com","251,411","93"
"185","ox.ac.uk","219,589","93"
"186","mashable.com","344,232","93"
"187","enable-javascript.com","1,250,130","93"
"188","whitehouse.gov","314,376","93"
"189","privacyshield.gov","416,032","93"
"190","lemonde.fr","223,827","93"
"191","elmundo.es","191,675","93"
"192","abc.es","156,514","93"
"193","gmail.com","181,231","93"
"194","ytimg.com","251,778","93"
"195","forms.gle","353,670","93"
"196","finance.yahoo.com","370,956","93"
"197","blackberry.com","134,451","93"
"198","imageshack.us","781,484","93"
"199","akamaihd.net","412,128","93"
"200","m.wikipedia.org","228,444","93"
"201","gofundme.com","273,409","93"
"202","google.pl","189,143","93"
"203","cornell.edu","369,249","93"
"204","soundcloud.com","1,565,667","93"
"205","sciencemag.org","265,882","93"
"206","sapo.pt","205,027","93"
"207","pbs.org","422,205","93"
"208","bloglovin.com","445,065","93"
"209","thetimes.co.uk","298,293","93"
"210","vice.com","305,467","93"
"211","theglobeandmail.com","218,946","93"
"212","dw.com","220,837","93"
"213","google.com.tw","125,033","93"
"214","bitly.com","338,989","93"
"215","mysql.com","397,207","93"
"216","depositfiles.com","139,167","93"
"217","list-manage.com","661,462","93"
"218","ted.com","479,386","93"
"219","metro.co.uk","175,354","93"
"220","afternic.com","1,452,811","93"
"221","news.com.au","256,627","93"
"222","urbandictionary.com","205,624","93"
"223","nicovideo.jp","138,146","93"
"224","ru.wikipedia.org","352,040","93"
"225","nikkei.com","191,802","93"
"226","disqus.com","919,079","93"
"227","www.weebly.com","340,059","93"
"228","cambridge.org","222,714","93"
"229","loc.gov","368,718","93"
"230","rt.com","230,388","93"
"231","digg.com","820,656","93"
"232","ea.com","157,706","93"
"233","php.net","624,851","93"
"234","wp.com","917,623","93"
"235","windowsphone.com","120,929","93"
"236","ikea.com","262,897","93"
"237","chicagotribune.com","297,414","93"
"238","ovh.co.uk","552,824","93"
"239","bt.com","171,090","93"
"240","rapidshare.com","280,038","93"
"241","storage.googleapis.com","492,640","93"
"242","netflix.com","245,164","93"
"243","google.co.in","239,054","93"
"244","000webhost.com","272,514","93"
"245","stackoverflow.com","285,190","93"
"246","berkeley.edu","389,442","93"
"247","imageshack.com","434,580","93"
"248","e-recht24.de","442,202","93"
"249","bp2.blogger.com","521,563","93"
"250","picasa.google.com","247,666","93"
"251","playstation.com","181,964","93"
"252","my.yahoo.com","1,137,328","93"
"253","express.co.uk","203,587","93"
"254","ja.wikipedia.org","327,044","93"
"255","nature.com","442,519","93"
"256","cnbc.com","397,468","93"
"257","pexels.com","144,735","93"
"258","addtoany.com","714,176","93"
"259","photobucket.com","1,571,731","93"
"260","godaddy.com","2,360,674","93"
"261","ovh.com","422,499","93"
"262","sendspace.com","149,298","93"
"263","goodreads.com","672,336","93"
"264","worldbank.org","203,596","93"
"265","usnews.com","324,028","93"
"266","groups.google.com","299,254","93"
"267","mega.nz","151,933","93"
"268","oup.com","313,421","93"
"269","nokia.com","157,923","93"
"270","pixabay.com","298,728","93"
"271","smh.com.au","261,729","93"
"272","alibaba.com","364,514","93"
"273","arxiv.org","179,061","93"
"274","code.google.com","318,758","93"
"275","theatlantic.com","424,756","93"
"276","google.nl","216,598","93"
"277","deezer.com","126,634","93"
"278","instructables.com","273,783","93"
"279","sputniknews.com","136,398","93"
"280","sciencedaily.com","288,779","93"
"281","columbia.edu","274,956","93"
"282","engadget.com","397,884","93"
"283","kickstarter.com","404,005","93"
"284","nydailynews.com","301,310","93"
"285","spiegel.de","263,885","93"
"286","fifa.com","141,736","93"
"287","naver.jp","129,017","93"
"288","amazon.es","146,825","93"
"289","orange.fr","166,886","93"
"290","apache.org","881,881","93"
"291","noaa.gov","283,415","93"
"292","www.over-blog.com","770,609","93"
"293","sciencedirect.com","422,590","93"
"294","search.yahoo.com","422,831","93"
"295","amazon.fr","218,884","93"
"296","princeton.edu","279,408","93"
"297","channel4.com","142,885","93"
"298","yelp.com","818,721","93"
"299","ietf.org","346,589","93"
"300","nvidia.com","145,588","93"
"301","npr.org","598,633","93"
"302","hp.com","388,192","93"
"303","ziddu.com","166,659","93"
"304","secureserver.net","950,615","93"
"305","icann.org","438,725","93"
"306","mozilla.com","197,492","93"
"307","netvibes.com","1,153,902","93"
"308","t.co","1,699,182","93"
"309","4shared.com","506,477","93"
"310","mit.edu","568,085","93"
"311","quora.com","306,378","93"
"312","skype.com","367,009","93"
"313","dell.com","207,238","93"
"314","xbox.com","145,155","93"
"315","gnu.org","562,094","93"
"316","nationalgeographic.com","531,311","93"
"317","welt.de","158,406","93"
"318","economist.com","303,790","93"
"319","tripadvisor.com","448,883","93"
"320","asus.com","138,708","93"
"321","ria.ru","154,067","93"
"322","www.wikipedia.org","520,728","93"
"323","oracle.com","524,701","93"
"324","yahoo.co.jp","618,805","93"
"325","guardian.co.uk","519,080","93"
"326","ipv4.google.com","351,328","93"
"327","huffpost.com","415,039","93"
"328","britannica.com","269,882","93"
"329","ovh.net","698,753","93"
"330","spotify.com","1,121,578","93"
"331","disney.com","211,327","93"
"332","newsweek.com","244,953","93"
"333","standard.co.uk","144,663","93"
"334","scoop.it","338,026","93"
"335","eventbrite.com","538,516","93"
"336","theverge.com","303,259","93"
"337","cbc.ca","347,869","93"
"338","nginx.org","560,038","93"
"339","about.com","667,553","93"
"340","wikihow.com","348,348","93"
"341","nginx.com","473,589","93"
"342","stanford.edu","507,591","93"
"343","yale.edu","276,810","93"
"344","indiatimes.com","335,393","93"
"345","box.com","231,868","93"
"346","yadi.sk","171,026","93"
"347","psychologytoday.com","273,246","93"
"348","ibm.com","437,490","93"
"349","wa.me","466,711","93"
"350","sfgate.com","316,831","93"
"351","twitch.tv","302,859","93"
"352","wiley.com","439,162","93"
"353","espn.com","304,090","93"
"354","shopify.com","1,294,851","93"
"355","gizmodo.com","339,270","93"
"356","newyorker.com","318,697","93"
"357","doubleclick.net","645,556","93"
"358","zendesk.com","449,002","93"
"359","variety.com","199,018","93"
"360","weibo.com","1,484,926","93"
"361","utexas.edu","231,685","93"
"362","addthis.com","695,372","93"
"363","washington.edu","307,806","93"
"364","academia.edu","284,511","93"
"365","google.co.id","136,080","93"
"366","target.com","226,469","93"
"367","buzzfeed.com","445,831","93"
"368","adssettings.google.com","296,854","93"
"369","nypost.com","288,680","93"
"370","googleblog.com","214,516","93"
"371","unesco.org","255,395","93"
"372","naver.com","425,019","93"
"373","surveymonkey.com","384,145","93"
"374","techcrunch.com","390,996","93"
"375","hm.com","153,955","93"
"376","answers.com","215,871","92"
"377","m.me","166,914","92"
"378","nifty.com","212,858","92"
"379","state.gov","262,564","92"
"380","zoom.us","301,060","92"
"381","tabelog.com","139,796","92"
"382","nhk.or.jp","205,146","92"
"383","rediff.com","266,816","92"
"384","pinterest.co.uk","158,480","92"
"385","zdnet.com","241,305","92"
"386","prnewswire.com","304,964","92"
"387","answers.yahoo.com","188,279","92"
"388","xing.com","405,308","92"
"389","vchecks.me","218,591","92"
"390","example.com","252,538","92"
"391","amzn.to","716,514","92"
"392","sina.com.cn","1,098,904","92"
"393","cia.gov","134,826","92"
